codParlamentario,nombre,fecha_declaracion,url_pdf_bienes
95,Esther Peña Camarero,03/08/2023,https://www.congreso.es/docbienes/leg15/000079/000079_000_e_0000347_20230803.pdf
96,Manuel Arribas Maroto,03/08/2023,https://www.congreso.es/docbienes/leg15/000082/000082_000_e_0000356_20230803.pdf
98,Gonzalo Redondo Cárdenas,03/08/2023,https://www.congreso.es/docbienes/leg15/000089/000089_000_e_0000381_20230803.pdf
98,Gonzalo Redondo Cárdenas,24/07/2024,https://www.congreso.es/docbienes/leg15/000089/000089_001_e_0034619_20240724.pdf
99,Javier Merino Martínez,03/08/2023,https://www.congreso.es/docbienes/leg15/000092/000092_000_e_0000387_20230803.pdf
100,César Joaquín Ramos Esteban,03/08/2023,https://www.congreso.es/docbienes/leg15/000087/000087_000_e_0000374_20230803.pdf
100,César Joaquín Ramos Esteban,10/10/2025,https://www.congreso.es/docbienes/leg15/000087/000087_001_e_0084823_20251010.pdf
101,Santi Rodríguez Serra,03/08/2023,https://www.congreso.es/docbienes/leg15/000091/000091_000_e_0000385_20230803.pdf
102,Antonio Martínez Gómez,04/08/2023,https://www.congreso.es/docbienes/leg15/000096/000096_000_e_0000414_20230804.pdf
103,Trinidad Carmen Argota Castro,04/08/2023,https://www.congreso.es/docbienes/leg15/000095/000095_000_e_0000406_20230804.pdf
104,David García Gomis,04/08/2023,https://www.congreso.es/docbienes/leg15/000097/000097_000_e_0000416_20230804.pdf
105,Adriana Maldonado López,04/08/2023,https://www.congreso.es/docbienes/leg15/000098/000098_000_e_0000419_20230804.pdf
106,Carmen Andrés Añón,04/08/2023,https://www.congreso.es/docbienes/leg15/000099/000099_000_e_0000422_20230804.pdf
107,Félix De las Cuevas Cortés,04/08/2023,https://www.congreso.es/docbienes/leg15/000101/000101_000_e_0000429_20230804.pdf
108,Alberto Fabra Part,04/08/2023,https://www.congreso.es/docbienes/leg15/000100/000100_000_e_0000424_20230804.pdf
